"xVOut2","VOut2","IOut2","xIOut2"
"1.273997826501727","4.980769634246826","4","2.5200003292411566"
"1.274439156986773","4.993197441101074","3.9998362064361572","3.5000001080334187"
"1.2748850276693702","4.988234519958496","",""
"1.2759978417307138","4.980652332305908","",""
"1.276441034860909","4.99312162399292","",""
"1.2768867891281843","4.988173484802246","",""
"1.2779978569597006","4.980637073516846","",""
"1.2784396531060338","4.993084907531738","",""
"1.278589479625225","4.98883056640625","",""
"1.2799978721886873","4.980584144592285","",""
"1.280440716072917","4.993055820465088","",""
"1.2805168516933918","4.989022731781006","",""
"1.281997887417674","4.980591773986816","",""
"1.282439799979329","4.993049144744873","",""
"1.283997786231339","4.980573654174805","",""
"1.2844412121921778","4.993063449859619","",""
"1.2859978014603257","4.98063850402832","",""
"1.2864418094977736","4.993151664733887","",""
"1.2879978166893125","4.980776786804199","",""
"1.2882417067885399","4.989012718200684","",""
"1.2884394964203238","4.99324893951416","",""
"1.2899978319182992","4.980829238891602","",""
"1.2902321759611368","4.988875389099121","",""
"1.2904395116493106","4.993293285369873","",""
"1.291997847147286","4.980856418609619","",""
"1.2920021545141935","4.9844465255737305","",""
"1.2924456968903542","4.993464469909668","",""
"1.2939907610416412","4.981309413909912","",""
"1.2939978623762727","4.981239318847656","",""
"1.2944376794621348","4.993699550628662","",""
"1.2959905434399843","4.981386661529541","",""
"1.2959978776052594","4.981313705444336","",""
"1.2964395573362708","4.993788242340088","",""
"1.297768554650247","4.9835591316223145","",""
"1.2979977764189243","4.98139762878418","",""
"1.2984367785975337","4.993806838989258","",""
"1.2997699668630958","4.983471870422363","",""
"1.299997791647911","4.981309413909912","",""
"1.300438423641026","4.993734836578369","",""
"1.3016778975725174","4.9841742515563965","",""
"1.3019978068768978","4.981217861175537","",""
"1.3024400686845183","4.993679523468018","",""
"1.303702243603766","4.983953475952148","",""
"1.3039978221058846","4.98120641708374","",""
"1.3044384540989995","4.993638515472412","",""
"1.3056743191555142","4.984103202819824","",""
"1.3059978373348713","4.98111629486084","",""
"1.306438585743308","4.993542671203613","",""
"1.3075520982965827","4.984974384307861","",""
"1.307997852563858","4.98101282119751","",""
"1.3084481470286846","4.993655204772949","",""
"1.3094014720991254","4.986367702484131","",""
"1.309997751377523","4.981438636779785","",""
"1.310438965447247","4.9939284324646","",""
"1.3113270979374647","4.987010955810547","",""
"1.3119978830218315","4.9815802574157715","",""
"1.312440144829452","4.994073390960693","",""
"1.3131106970831752","4.988307476043701","",""
"1.3139977818354964","4.98171329498291","",""
"1.3144387630745769","4.994173526763916","",""
"1.3151108287274837","4.988381385803223","",""
"1.3159977970644832","4.981761455535889","",""
"1.3164388947188854","4.9942145347595215","",""
"1.3171095633879304","4.988417625427246","",""
"1.31799781229347","4.981777667999268","",""
"1.318437745794654","4.994196891784668","",""
"1.3188839657232165","4.989248752593994","",""
"1.3199978275224566","4.981696605682373","",""
"1.320438925176859","4.994129180908203","",""
"1.3208850286900997","4.98917818069458","",""
"1.3219978427514434","4.981626987457275","",""
"1.32243731059134","4.994020462036133","",""
"1.3228838797658682","4.98905086517334","",""
"1.3239978579804301","4.981449604034424","",""
"1.3244441943243146","4.993990898132324","",""
"1.3248504837974906","4.9891815185546875","",""
"1.3259978732094169","4.981616020202637","",""
"1.3264406006783247","4.99411153793335","",""
"1.3265168527141213","4.990082263946533","",""
"1.3279977720230818","4.981718063354492","",""
"1.3284276938065886","4.993908405303955","",""
"1.3284392189234495","4.99417781829834","",""
"1.3299977872520685","4.981740951538086","",""
"1.3304379535838962","4.9941630363464355","",""
"1.3319978024810553","4.981659889221191","",""
"1.3324377359822392","4.9940643310546875","",""
"1.333997817710042","4.981509685516357","",""
"1.3342683669179678","4.99024772644043","",""
"1.3344393810257316","4.9939422607421875","",""
"1.3359978329390287","4.98140811920166","",""
"1.3362603494897485","4.989986896514893","",""
"1.336439629085362","4.99384880065918","",""
"1.3379978481680155","4.981321334838867","",""
"1.338002155534923","4.9849114418029785","",""
"1.3384412741288543","4.993804931640625","",""
"1.3399907620623708","4.981411933898926","",""
"1.3399978633970022","4.981341361999512","",""
"1.340441289357841","4.993838310241699","",""
"1.3419907772913575","4.981489181518555","",""
"1.3419977622106671","4.981419086456299","",""
"1.3424386270344257","4.993860721588135","",""
"1.3437691377475858","4.9835405349731445","",""
"1.3439977774396539","4.9813714027404785","",""
"1.344446325674653","4.993983745574951","",""
"1.3457447057589889","4.984094619750977","",""
"1.3459977926686406","4.981741428375244","",""
"1.346439472399652","4.994239330291748","",""
"1.347769284620881","4.984045028686523","",""
